group,Channels
ext,DEᶫᶹ™: SKY BUNDESLIGA 2 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67275
ext,DEᶫᶹ™: SKY BUNDESLIGA 3 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67276
ext,DEᶫᶹ™: SKY BUNDESLIGA 4 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67277
ext,DEᶫᶹ™: SKY BUNDESLIGA 5 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67278
ext,DEᶫᶹ™: SKY BUNDESLIGA 6 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67279
ext,DEᶫᶹ™: SKY BUNDESLIGA 7 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67280
ext,DEᶫᶹ™: SKY BUNDESLIGA 8 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67281
ext,DEᶫᶹ™: SKY BUNDESLIGA 9 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67282
ext,DEᶫᶹ™: SKY BUNDESLIGA 10 HD (ONLY DURING LIVE MATCHES),http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67283
ext,DEᶫᶹ™: EUROSPORT 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67284
ext,DEᶫᶹ™: EUROSPORT 2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67285
ext,DEᶫᶹ™: EUROSPORT 2 HD XTRA,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67286
ext,DEᶫᶹ™: MOTORVISION TV,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67287
ext,DEᶫᶹ™: SPORT1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67288

group,DEᶫᶹ™: MUSIK
ext,===== DEᶫᶹ™: MUSIK =====,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/67289
